图书排名,图书名称,图书作者,图书出版时间,图书出版社,图书价格
55,儒林外史(56回全本，内容考证、文字句读全新修订版),吴敬梓,2015-07-01,花山文艺出版社,11.8
56,青铜葵花正版曹文轩纯美小说7-8-9-10-12岁草房子系列儿童文学校园...,曹文轩,2016-04-01,江苏少年儿童出版社,10.9
57,边城（沈从文代表作）,沈从文,2019-04-01,中国友谊出版公司,15.7
59,月光落在左手上（精装珍藏版）,余秀华,2020-09-01,北京十月文艺出版社,29.0
61,小狗钱钱（附赠免费亲子财商课+理财秘籍思维导图）,博多・舍费尔,2021-01-20,中信出版社,19.9
62,青铜葵花（当当网定制版）,曹文轩,2015-03-01,天天出版社有限责任公司,12.5
63,如果历史是一群喵9・五代十国篇,肥志,2021-10-01,广东旅游出版社,44.8
64,华夏万卷 楷书入门6件套 楷书字帖田英章书钢笔字帖成人学生硬笔书...,田英章,2018-12-01,上海交通大学出版社,29.7
65,孩子读得懂的山海经（共3册）神话+神兽+异人国,兰梦醒,2020-11-04,北京理工大学出版社,85.4
66,银河帝国：基地（人类历史上不容错过的系列小说。被马斯克用火箭...,艾萨克・阿西莫夫,2015-09-01,江苏文艺出版社,22.5
67,国际大奖小说――亲爱的汉修先生,贝芙莉・克莱瑞,2017-04-01,新蕾出版社,14.6
68,草房子：六年级推荐课外阅读书/曹文轩纯美小说系列,曹文轩,2016-04-01,江苏凤凰少年儿童出版社,10.9
69,沉思录,马可.奥勒留,2008-02-01,中央编译出版社,9.0
70,钝感力（渡边淳一经典励志大作！央视新闻、《奇葩说》鼎力推荐，...,渡边淳一,2018-01-01,青岛出版社,16.0
71,也许你该找个人聊聊（入选2021豆瓣受关注图书榜、新京报年度阅读...,洛莉・戈特利布,2021-06-01,上海文化出版社,39.9
72,三毛流浪记（彩图注音读物）,张乐平,2017-06-01,少年儿童出版社,18.8
73,生死疲劳（诺奖得主莫言畅销代表作，六道轮回的想象，灵魂不死的...,莫言,2020-03-01,浙江文艺出版社,31.02
75,人间失格（日本小说家太宰治代表作，一个对村上春树影响至深的绝...,太宰治,2015-08-01,作家出版社,10.1
76,侦探与小偷 （手绘精美插图，金钥匙儿童文学大系）,叶永烈,2019-01-01,中译出版社（原中国对外翻译出版公司）,12.2
77,少年读徐霞客游记（游中国・地理启蒙，全3册）,刘兴诗,2020-09-01,青岛出版社,50.0
78,毛泽东选集（全四册，32开）,毛泽东,1991-06-01,人民出版社,60.7
79,围城,钱钟书,1991-02-01,人民文学出版社,30.8
80,走遍世界 图说天下 寻梦之旅,王秀莉,2020-12-01,四川人民出版社,22.1
81,山茶文具店（陆定昊诚挚推荐，日本畅销作家小川糸备受好评暖心之...,小川糸,2018-03-31,湖南文艺出版社,22.5
82,追风筝的人（李雪琴、高圆圆动情推荐，《纽约时报》畅销书榜上榜...,卡勒德・胡赛尼,2006-05-01,上海人民出版社,31.0
83,郑渊洁四大名传：皮皮鲁传,郑渊洁,2015-12-01,浙江少年儿童出版社,13.0
84,罗尔德・达尔作品典藏（彩图拼音版）―了不起的狐狸爸爸,罗尔德・达尔,2018-09-01,明天出版社,13.4
85,法治的细节（罗翔新作，法律随笔，评热点、论法理、聊读书、谈爱...,罗翔,2021-11-01,云南人民出版社,37.3
